Method,Test Size,MAE
IDW,0.1,118.7712637
Kriging,0.1,96.47415872
U-Net,0.1,0.08798357
Ensemble,0.1,84.19803922
U-Net,0.1,0.08798357
Splatformer,0.1,0.178432927
IDW,0.1,118.4865217
Kriging,0.1,95.62579543
U-Net,0.1,0.741739978
Ensemble,0.1,82.48442678
U-Net,0.1,0.741739978
Splatformer,0.1,0.36938262
IDW,0.1,117.1412634
Kriging,0.1,94.2805302
U-Net,0.1,0.456624794
Ensemble,0.1,81.88575158
U-Net,0.1,0.456624794
Splatformer,0.1,0.269770861
IDW,0.1,116.7650354
Kriging,0.1,93.90430789
U-Net,0.1,0.269842895
Ensemble,0.1,81.54640084
U-Net,0.1,0.269842895
Splatformer,0.1,0.437888712
IDW,0.1,118.7712637
Kriging,0.1,96.47415872
U-Net,0.1,0.07882531
Ensemble,0.1,84.19803922
U-Net,0.1,0.07882531
Splatformer,0.1,0.439987063
IDW,0.1,118.7820131
Kriging,0.1,96.10795297
U-Net,0.1,0.2369572
Ensemble,0.1,83.47183502
U-Net,0.1,0.2369572
Splatformer,0.1,0.229126036
IDW,0.2,118.3919628
Kriging,0.2,95.5312398
U-Net,0.2,0.443304434
Ensemble,0.2,82.40611948
U-Net,0.2,0.443304434
Splatformer,0.2,0.420517236
IDW,0.2,118.0805803
Kriging,0.2,95.24338338
U-Net,0.2,1.090590232
Ensemble,0.2,82.41358897
U-Net,0.2,1.090590232
Splatformer,0.2,0.327821583
IDW,0.2,117.3741206
Kriging,0.2,94.5939057
U-Net,0.2,0.392683762
Ensemble,0.2,82.21607839
U-Net,0.2,0.392683762
Splatformer,0.2,0.22940509
IDW,0.2,117.85465
Kriging,0.2,94.99392141
U-Net,0.2,0.451746733
Ensemble,0.2,82.20550596
U-Net,0.2,0.451746733
Splatformer,0.2,0.206900775
IDW,0.2,118.3093445
Kriging,0.2,95.44862236
U-Net,0.2,0.301524279
Ensemble,0.2,82.29365719
U-Net,0.2,0.301524279
Splatformer,0.2,0.508155465
IDW,0.2,117.209833
Kriging,0.2,94.34910517
U-Net,0.2,0.580143579
Ensemble,0.2,81.79804492
U-Net,0.2,0.580143579
Splatformer,0.2,0.252973527
IDW,0.3,117.185537
Kriging,0.3,94.34618078
U-Net,0.3,0.698616489
Ensemble,0.3,81.937841
U-Net,0.3,0.698616489
Splatformer,0.3,0.306379139
IDW,0.3,117.8449267
Kriging,0.3,94.98420018
U-Net,0.3,0.692696095
Ensemble,0.3,82.13147785
U-Net,0.3,0.692696095
Splatformer,0.3,0.258890688
IDW,0.3,117.7945748
Kriging,0.3,94.93385087
U-Net,0.3,0.286847704
Ensemble,0.3,82.04457174
U-Net,0.3,0.286847704
Splatformer,0.3,0.364931196
IDW,0.3,117.7986854
Kriging,0.3,94.93796086
U-Net,0.3,1.001566762
Ensemble,0.3,82.09001746
U-Net,0.3,1.001566762
Splatformer,0.3,0.248216927
IDW,0.3,117.5505679
Kriging,0.3,94.68984255
U-Net,0.3,0.714420968
Ensemble,0.3,81.96458955
U-Net,0.3,0.714420968
Splatformer,0.3,0.429537773
IDW,0.3,117.6316835
Kriging,0.3,94.79372054
U-Net,0.3,1.073996277
Ensemble,0.3,82.09704126
U-Net,0.3,1.073996277
Splatformer,0.3,0.378457636
IDW,0.4,117.8675336
Kriging,0.4,95.00680847
U-Net,0.4,1.081812818
Ensemble,0.4,82.15513741
U-Net,0.4,1.081812818
Splatformer,0.4,0.355259389
IDW,0.4,117.9031427
Kriging,0.4,95.0543293
U-Net,0.4,0.44066655
Ensemble,0.4,82.28041715
U-Net,0.4,0.44066655
Splatformer,0.4,0.36237675
IDW,0.4,117.6435559
Kriging,0.4,94.78282773
U-Net,0.4,0.458066146
Ensemble,0.4,82.07829833
U-Net,0.4,0.458066146
Splatformer,0.4,0.316361725
IDW,0.4,118.1224777
Kriging,0.4,95.26175326
U-Net,0.4,0.481561264
Ensemble,0.4,82.25200754
U-Net,0.4,0.481561264
Splatformer,0.4,0.501924157
IDW,0.4,117.6005484
Kriging,0.4,94.77809397
U-Net,0.4,0.333065312
Ensemble,0.4,82.05945348
U-Net,0.4,0.333065312
Splatformer,0.4,0.280800223
IDW,0.4,117.595737
Kriging,0.4,94.77191444
U-Net,0.4,0.338861524
Ensemble,0.4,82.07493899
U-Net,0.4,0.338861524
Splatformer,0.4,0.298347801
IDW,0.5,118.058886
Kriging,0.5,95.22095342
U-Net,0.5,0.836719536
Ensemble,0.5,82.31849489
U-Net,0.5,0.836719536
Splatformer,0.5,0.329353064
IDW,0.5,117.5370059
Kriging,0.5,94.69780375
U-Net,0.5,0.437174707
Ensemble,0.5,82.09390465
U-Net,0.5,0.437174707
Splatformer,0.5,0.266022652
IDW,0.5,117.6188481
Kriging,0.5,94.75812019
U-Net,0.5,0.547736439
Ensemble,0.5,82.06204568
U-Net,0.5,0.547736439
Splatformer,0.5,0.313310146
IDW,0.5,117.9321036
Kriging,0.5,95.12028883
U-Net,0.5,0.581244935
Ensemble,0.5,82.3279122
U-Net,0.5,0.581244935
Splatformer,0.5,0.302785128
IDW,0.5,117.6413073
Kriging,0.5,94.79040517
U-Net,0.5,0.509114258
Ensemble,0.5,82.08470566
U-Net,0.5,0.509114258
Splatformer,0.5,0.406362146
IDW,0.5,117.289472
Kriging,0.5,94.45512539
U-Net,0.5,1.429808927
Ensemble,0.5,81.93113458
U-Net,0.5,1.429808927
Splatformer,0.5,0.311434269
