Method,Test Size,MAE
IDW,0.1,102.95930194109654
Kriging,0.1,107.95725803552796
U-Net,0.1,0.489131751361493
Ensemble,0.1,75.66003971600782
U-Net,0.1,0.489131751361493
Splatformer,0.1,0.35918888449668884
IDW,0.1,103.73726676516232
Kriging,0.1,108.88409743848892
U-Net,0.1,0.8895334175654608
Ensemble,0.1,76.68799923551325
U-Net,0.1,0.8895334175654608
Splatformer,0.1,0.2965610921382904
IDW,0.1,101.11437502312306
Kriging,0.1,105.49537705444567
U-Net,0.1,0.2593256006696557
Ensemble,0.1,74.27488839468293
U-Net,0.1,0.2593256006696557
Splatformer,0.1,0.17451083660125732
IDW,0.1,102.49060337675152
Kriging,0.1,107.4885594711829
U-Net,0.1,2.281058525894755
Ensemble,0.1,75.4555916585303
U-Net,0.1,2.281058525894755
Splatformer,0.1,0.25327032804489136
IDW,0.1,103.0128931032508
Kriging,0.1,108.0108491976822
U-Net,0.1,0.3332126191875032
Ensemble,0.1,76.79064408966313
U-Net,0.1,0.3332126191875032
Splatformer,0.1,0.4136229455471039
IDW,0.1,103.73726676516232
Kriging,0.1,108.88409743848892
U-Net,0.1,2.9202617402091793
Ensemble,0.1,76.68799923551325
U-Net,0.1,2.9202617402091793
Splatformer,0.1,0.2125781625509262
IDW,0.2,102.26629231835732
Kriging,0.2,107.18276912845677
U-Net,0.2,1.7467114660484175
Ensemble,0.2,75.34903689016102
U-Net,0.2,1.7467114660484175
Splatformer,0.2,0.27354443073272705
IDW,0.2,103.10293527776581
Kriging,0.2,108.09399973876396
U-Net,0.2,0.9387436737914749
Ensemble,0.2,76.45202569956675
U-Net,0.2,0.9387436737914749
Splatformer,0.2,0.2887269854545593
IDW,0.2,103.54620173490333
Kriging,0.2,108.62696380812856
U-Net,0.2,1.2517166893957206
Ensemble,0.2,76.52612327451017
U-Net,0.2,1.2517166893957206
Splatformer,0.2,0.28394630551338196
IDW,0.2,102.21763246363513
Kriging,0.2,107.09321750422681
U-Net,0.2,0.6741665744654731
Ensemble,0.2,75.22140258140355
U-Net,0.2,0.6741665744654731
Splatformer,0.2,0.3030473291873932
IDW,0.2,103.07306516971254
Kriging,0.2,108.06443255965279
U-Net,0.2,0.5838951898814606
Ensemble,0.2,75.920244173408
U-Net,0.2,0.5838951898814606
Splatformer,0.2,0.2279742956161499
IDW,0.2,102.98086097058396
Kriging,0.2,107.97881706501536
U-Net,0.2,0.5477906506845256
Ensemble,0.2,75.61526851150255
U-Net,0.2,0.5477906506845256
Splatformer,0.2,0.2055620700120926
IDW,0.3,103.34523993780216
Kriging,0.3,108.39764821284118
U-Net,0.3,0.5175056793583328
Ensemble,0.3,76.22956548015917
U-Net,0.3,0.5175056793583328
Splatformer,0.3,0.25683432817459106
IDW,0.3,102.14868939947647
Kriging,0.3,107.93109621937693
U-Net,0.3,3.974407092976465
Ensemble,0.3,73.9336645815535
U-Net,0.3,3.974407092976465
Splatformer,0.3,0.24795590341091156
IDW,0.3,103.08442217600603
Kriging,0.3,108.0823782704374
U-Net,0.3,0.4386289252631512
Ensemble,0.3,75.84025904917749
U-Net,0.3,0.4386289252631512
Splatformer,0.3,0.24046626687049866
IDW,0.3,102.54036039534955
Kriging,0.3,108.17165377100852
U-Net,0.3,0.6738751234570393
Ensemble,0.3,74.56864552598637
U-Net,0.3,0.6738751234570393
Splatformer,0.3,0.3243683874607086
IDW,0.3,102.9508051797418
Kriging,0.3,107.97447636183809
U-Net,0.3,2.277270285997056
Ensemble,0.3,75.97211837760213
U-Net,0.3,2.277270285997056
Splatformer,0.3,0.35504627227783203
IDW,0.3,102.69270266478688
Kriging,0.3,107.6425726242027
U-Net,0.3,0.5426123864688531
Ensemble,0.3,75.74829994202933
U-Net,0.3,0.5426123864688531
Splatformer,0.3,0.2690011262893677
